date,fishing
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,5
2012-04-16,29
2012-04-17,18
2012-04-18,24
2012-04-19,23
2012-04-20,29
2012-04-21,18
2012-04-22,24
2012-04-23,23
2012-04-24,29
2012-04-25,23
2012-04-26,12
2012-04-27,16
2012-04-28,27
2012-04-29,8
2012-04-30,16
2012-05-01,24
2012-05-02,6
2012-05-03,1
2012-05-04,5
2012-05-05,23
2012-05-06,3
2012-05-07,13
2012-05-08,20
2012-05-09,9
2012-05-10,20
2012-05-11,14
2012-05-12,19
2012-05-13,21
2012-05-14,12
2012-05-15,9
2012-05-16,20
2012-05-17,15
2012-05-18,21
2012-05-19,23
2012-05-20,12
2012-05-21,23
2012-05-22,19
2012-05-23,20
2012-05-24,18
2012-05-25,14
2012-05-26,22
2012-05-27,21
2012-05-28,17
2012-05-29,16
2012-05-30,22
2012-05-31,10
2012-06-01,13
2012-06-02,11
2012-06-03,0
2012-06-04,18
2012-06-05,27
2012-06-06,23
2012-06-07,20
2012-06-08,23
2012-06-09,28
2012-06-10,23
2012-06-11,19
2012-06-12,23
2012-06-13,29
2012-06-14,23
2012-06-15,10
2012-06-16,7
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
