date,fishing
2012-01-01,0
2012-01-02,0
2012-01-03,1
2012-01-04,0
2012-01-05,0
2012-01-06,5
2012-01-07,0
2012-01-08,0
2012-01-09,5
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,3
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,0
2012-01-28,11
2012-01-29,6
2012-01-30,1
2012-01-31,4
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,5
2012-02-07,0
2012-02-08,3
2012-02-09,2
2012-02-10,2
2012-02-11,5
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,3
2012-02-16,4
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,2
2012-03-29,0
2012-03-30,0
2012-03-31,8
2012-04-01,3
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,3
2012-04-10,3
2012-04-11,0
2012-04-12,3
2012-04-13,0
2012-04-14,0
2012-04-15,4
2012-04-16,9
2012-04-17,1
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,4
2012-04-22,1
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,2
2012-05-04,1
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,2
2012-05-16,1
2012-05-17,0
2012-05-18,3
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,1
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,1
2012-06-10,10
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,1
2012-06-15,0
2012-06-16,2
2012-06-17,1
2012-06-18,1
2012-06-19,0
2012-06-20,5
2012-06-21,0
2012-06-22,1
2012-06-23,1
2012-06-24,1
2012-06-25,9
2012-06-26,2
2012-06-27,1
2012-06-28,1
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,1
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,1
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
